Name,Balls,Runs,Wkts,Ave,Econ
RS Bopara (ENG),1860,1523,40,38.07,4.91
Saleem Jaffar (PAK),1900,1382,40,34.55,4.36
Shaheen Shah Afridi (PAK),924,847,40,21.17,5.5
SJ Benn (WI),2387,1913,39,49.05,4.8
PT Collins (WI),1577,1212,39,31.07,4.61
SS Cottrell (WI),1314,1293,39,33.15,5.9
WW Davis (WI),1923,1302,39,33.38,4.06
GD Elliott (NZ),1302,1179,39,30.23,5.43
WK McCallan (IRE),1804,1208,39,30.97,4.01
H Masakadza (ZIM),1844,1636,39,41.94,5.32
TBA May (AUS),2504,1772,39,45.43,4.24
MO Odumbe (KENYA),2237,1807,39,46.33,4.84
IS Sodhi (NZ),1548,1430,39,36.66,5.54
Akram Raza (PAK),2601,1611,38,42.39,3.71
D Bishoo (WI),2022,1668,38,43.89,4.94
MG Hughes (AUS),1639,1115,38,29.34,4.08
AJ Ireland (ZIM),1326,1115,38,29.34,5.04
Nadeem Ahmed (HKG),1327,932,38,24.52,4.21
Rohan Mustafa (UAE),1583,1245,38,32.76,4.71
R Vinay Kumar (INDIA),1436,1423,38,37.44,5.94
TJ Friend (ZIM),1930,1779,37,48.08,5.53
MR Gillespie (NZ),1521,1369,37,37,5.4
EE Hemmings (ENG),1752,1294,37,34.97,4.43
M Kartik (INDIA),1907,1612,37,43.56,5.07
Mehidy Hasan Miraz (BDESH),1957,1520,37,41.08,4.66
KS Williamson (NZ),1467,1310,37,35.4,5.35
HMCM Bandara (SL),1470,1232,36,34.22,5.02
EAE Baptiste (WI),2214,1511,36,41.97,4.09
MG Bevan (AUS),1966,1655,36,45.97,5.05
JM Davison (CAN),1435,1067,36,29.63,4.46
AIC Dodemaide (AUS),1327,753,36,20.91,3.4
SB Doull (NZ),1745,1459,36,40.52,5.01
GA Gooch (ENG),2066,1516,36,42.11,4.4
S Randiv (SL),1437,1214,36,33.72,5.06
Khurram Chohan (CAN),1186,1029,36,28.58,5.2
SK Raina (INDIA),2126,1811,36,50.3,5.11
I Wardlaw (SCOT),1108,1036,36,28.77,5.61
CJ Chibhabha (ZIM),1667,1615,35,46.14,5.81
M Hendrick (ENG),1248,681,35,19.45,3.27
NC Johnson (ZIM),1503,1220,35,34.85,4.87
Naeem Islam (BDESH),1743,1407,35,40.2,4.84
CO Obuya (KENYA),1818,1637,35,46.77,5.4
MRJ Watt (SCOT),1443,1033,35,29.51,4.29
BA Williams (AUS),1203,814,35,23.25,4.05
KJ Abbott (SA),1303,1051,34,30.91,4.83
L Balaji (INDIA),1447,1344,34,39.52,5.57
TL Best (WI),1300,1157,34,34.02,5.34
PKD Chase (IRE),1238,1356,34,39.88,6.57
OD Gibson (WI),739,621,34,18.26,5.04
VB John (SL),2311,1655,34,48.67,4.29
RDM Leverock (BMUDA),1684,1123,34,33.02,4
